1000;2;0;
2000;6;1;
3000;15;1;
4000;26;0;
5000;39;0;
6000;56;0;
7000;76;1;
8000;97;1;
9000;130;1;
10000;153;0;
11000;185;0;
12000;232;0;
13000;267;1;
14000;303;1;
15000;350;0;
16000;388;1;
17000;438;1;
18000;486;0;
19000;541;1;
20000;603;1;
21000;675;1;
22000;730;1;
23000;799;1;
24000;889;1;
25000;967;2;
26000;1034;1;
27000;1093;1;
28000;1169;1;
29000;1256;1;
30000;1340;2;
31000;1430;2;
32000;1560;1;
33000;1707;2;
34000;1928;2;
35000;1912;2;
36000;2067;2;
37000;2138;1;
38000;2245;2;
39000;2392;1;
40000;2543;2;
41000;2637;2;
42000;2788;2;
43000;3012;2;
44000;2974;2;
45000;3064;2;
46000;3492;2;
47000;3466;3;
48000;3614;3;
49000;3898;3;
50000;3888;2;
51000;4257;2;
52000;4456;2;
53000;4426;3;
54000;4767;2;
55000;4821;2;
56000;5317;2;
57000;5135;3;
58000;5371;3;
59000;5605;3;
60000;5568;3;
61000;6014;3;
62000;6006;3;
63000;6294;3;
64000;6431;4;
65000;6635;3;
66000;6955;4;
67000;7071;3;
68000;7240;4;
69000;7348;3;
70000;7640;3;
71000;8038;4;
72000;8196;5;
73000;8288;4;
74000;8733;4;
75000;8825;4;
76000;8959;4;
77000;9271;4;
78000;9490;5;
79000;9640;4;
80000;10145;3;
81000;10227;4;
82000;10457;4;
83000;10924;4;
84000;11231;4;
85000;11293;4;
86000;11526;4;
87000;11946;4;
88000;12214;6;
89000;12320;5;
90000;12680;4;
91000;12988;5;
92000;13123;5;
93000;13627;4;
94000;13309;5;
95000;13482;5;
96000;14287;5;
97000;14596;4;
98000;15109;4;
99000;15377;6;
