n;merge;quick
1000;0;0;
2000;1;0;
3000;1;0;
4000;2;0;
5000;2;0;
6000;3;1;
7000;3;1;
8000;3;1;
9000;3;1;
10000;4;1;
11000;5;1;
12000;5;1;
13000;5;2;
14000;6;1;
15000;5;2;
16000;6;2;
17000;6;2;
18000;6;3;
19000;7;2;
20000;8;3;
21000;8;2;
22000;8;3;
23000;8;3;
24000;10;4;
25000;10;3;
26000;10;4;
27000;10;3;
28000;11;3;
29000;12;4;
30000;12;4;
31000;12;4;
32000;12;4;
33000;12;5;
34000;13;5;
35000;13;5;
36000;14;5;
37000;14;5;
38000;15;6;
39000;15;5;
40000;15;6;
41000;16;5;
42000;16;7;
43000;16;5;
44000;16;6;
45000;17;7;
46000;17;7;
47000;17;7;
48000;18;7;
49000;19;7;
50000;18;7;
51000;19;7;
52000;20;7;
53000;20;7;
54000;20;8;
55000;21;8;
56000;22;8;
57000;21;8;
58000;22;8;
59000;22;8;
60000;23;9;
61000;22;9;
62000;24;9;
63000;24;10;
64000;24;10;
65000;25;9;
66000;26;9;
67000;25;9;
68000;26;10;
69000;27;10;
70000;27;10;
71000;27;10;
72000;27;10;
73000;27;10;
74000;27;11;
75000;28;11;
76000;29;11;
77000;29;11;
78000;30;11;
79000;30;12;
80000;30;12;
81000;31;13;
82000;34;12;
83000;31;13;
84000;32;12;
85000;34;13;
86000;33;12;
87000;34;13;
88000;35;13;
89000;35;13;
90000;34;13;
91000;35;14;
92000;35;13;
93000;35;15;
94000;35;13;
95000;37;14;
96000;36;14;
97000;38;14;
98000;38;14;
99000;39;14;
100000;38;14;
101000;39;15;
102000;39;14;
103000;40;15;
104000;40;15;
105000;41;15;
106000;41;15;
107000;41;16;
108000;42;16;
109000;42;16;
110000;42;16;
111000;43;16;
112000;43;17;
113000;44;17;
114000;44;17;
115000;45;17;
116000;46;18;
117000;44;18;
118000;46;17;
119000;47;17;
120000;47;18;
121000;47;18;
122000;50;19;
123000;55;18;
124000;52;20;
125000;49;20;
126000;53;19;
127000;50;19;
128000;50;19;
129000;52;20;
130000;51;19;
131000;53;19;
132000;52;19;
133000;52;20;
134000;52;19;
135000;56;23;
136000;54;20;
137000;55;20;
138000;53;21;
139000;54;20;
140000;55;20;
141000;57;21;
142000;56;21;
143000;57;21;
144000;57;21;
145000;57;21;
146000;58;21;
147000;58;22;
148000;57;22;
149000;57;22;
150000;59;24;
151000;58;22;
152000;61;22;
153000;60;23;
154000;60;23;
155000;60;22;
156000;60;23;
157000;61;23;
158000;62;23;
159000;61;23;
160000;62;23;
161000;62;24;
162000;63;24;
163000;64;23;
164000;64;24;
165000;64;23;
166000;64;25;
167000;64;24;
168000;65;24;
169000;65;24;
170000;66;24;
171000;66;25;
172000;66;26;
173000;68;25;
174000;67;25;
175000;68;25;
176000;68;25;
177000;67;26;
178000;69;26;
179000;69;25;
180000;71;26;
181000;70;27;
182000;71;26;
183000;72;27;
184000;71;27;
185000;71;27;
186000;72;27;
187000;72;27;
188000;73;27;
189000;73;27;
190000;74;27;
191000;73;29;
192000;75;28;
193000;75;28;
194000;74;28;
195000;75;28;
196000;76;28;
197000;76;28;
198000;78;28;
199000;77;29;
200000;80;29;
201000;77;29;
202000;78;29;
203000;77;30;
204000;78;29;
205000;79;30;
206000;78;30;
207000;78;29;
208000;81;30;
209000;81;29;
210000;82;30;
211000;82;30;
212000;82;31;
213000;82;30;
214000;83;31;
215000;82;30;
216000;84;31;
217000;85;31;
218000;85;31;
219000;85;31;
220000;85;31;
221000;85;33;
222000;88;31;
223000;90;31;
224000;88;31;
225000;93;33;
226000;89;32;
227000;89;35;
228000;98;34;
229000;95;35;
230000;95;33;
231000;93;32;
232000;94;34;
233000;93;33;
234000;93;33;
235000;91;33;
236000;94;33;
237000;94;34;
238000;95;34;
239000;99;34;
240000;97;35;
241000;96;34;
242000;95;34;
243000;95;34;
244000;97;35;
245000;98;35;
246000;100;35;
247000;99;36;
248000;98;35;
249000;99;35;
250000;99;35;
251000;101;36;
252000;100;35;
253000;102;35;
254000;101;36;
255000;102;37;
256000;100;37;
