n;merge;quick
257000;102;36;
258000;102;37;
259000;102;36;
260000;102;36;
261000;105;37;
262000;103;37;
263000;106;39;
264000;104;37;
265000;106;37;
266000;106;37;
267000;106;37;
268000;106;37;
269000;106;37;
270000;107;38;
271000;108;38;
272000;108;39;
273000;112;38;
274000;109;38;
275000;109;38;
276000;109;39;
277000;109;38;
278000;111;39;
279000;112;40;
280000;114;39;
281000;111;39;
282000;111;39;
283000;112;40;
284000;113;40;
285000;113;39;
286000;113;40;
287000;113;40;
288000;114;41;
289000;115;40;
290000;115;40;
291000;118;40;
292000;115;40;
293000;118;41;
294000;117;41;
295000;120;41;
296000;117;42;
297000;119;41;
298000;120;42;
299000;119;41;
300000;119;42;
301000;121;41;
302000;121;42;
303000;125;42;
304000;122;42;
305000;122;42;
306000;127;58;
307000;123;43;
308000;126;42;
309000;123;43;
310000;125;43;
311000;125;42;
312000;125;42;
313000;125;45;
314000;125;43;
315000;124;44;
316000;125;44;
317000;125;43;
318000;126;44;
319000;128;44;
320000;128;44;
321000;129;45;
322000;129;44;
323000;128;45;
324000;130;45;
325000;129;45;
326000;131;45;
327000;131;45;
328000;131;45;
329000;131;46;
330000;132;48;
331000;135;45;
332000;133;45;
333000;133;47;
334000;133;47;
335000;135;45;
336000;135;45;
337000;135;46;
338000;135;46;
339000;137;46;
340000;138;46;
341000;137;47;
342000;138;46;
343000;139;48;
344000;138;48;
345000;137;47;
346000;136;47;
347000;138;54;
348000;141;47;
349000;137;48;
350000;139;47;
351000;139;48;
352000;138;48;
353000;139;48;
354000;139;50;
355000;141;48;
356000;144;49;
357000;140;49;
358000;141;48;
359000;141;50;
360000;143;50;
361000;144;49;
362000;142;49;
363000;142;50;
364000;143;50;
365000;144;50;
366000;144;49;
367000;143;52;
368000;144;50;
369000;145;51;
370000;147;51;
371000;147;51;
372000;146;51;
373000;146;51;
374000;148;51;
375000;147;51;
376000;148;50;
377000;149;51;
378000;150;51;
379000;150;51;
380000;150;55;
381000;150;52;
382000;150;53;
383000;151;53;
384000;152;52;
385000;152;51;
386000;152;52;
387000;152;52;
388000;154;52;
389000;151;52;
390000;154;53;
391000;154;52;
392000;153;53;
393000;155;53;
394000;153;53;
395000;155;53;
396000;155;54;
397000;158;55;
398000;156;54;
399000;156;53;
400000;156;54;
401000;157;54;
402000;158;54;
403000;161;56;
404000;160;55;
405000;160;54;
406000;161;55;
407000;160;54;
408000;160;55;
409000;161;54;
410000;161;57;
411000;163;55;
412000;163;57;
413000;164;56;
414000;164;56;
415000;164;55;
416000;164;56;
417000;169;56;
418000;163;57;
419000;166;56;
420000;165;55;
421000;167;57;
422000;167;56;
423000;168;56;
424000;166;57;
425000;173;57;
426000;168;57;
427000;173;58;
428000;173;57;
429000;170;57;
430000;170;57;
431000;171;58;
432000;170;59;
433000;171;58;
434000;174;58;
435000;171;60;
436000;175;62;
437000;174;60;
438000;174;58;
439000;174;59;
440000;174;58;
441000;173;60;
442000;177;60;
443000;177;60;
444000;176;60;
445000;177;63;
446000;182;64;
447000;183;61;
448000;178;61;
449000;176;59;
450000;178;60;
451000;179;61;
452000;178;62;
453000;180;60;
454000;179;61;
455000;180;61;
456000;178;61;
457000;181;61;
458000;181;62;
459000;183;62;
460000;181;61;
461000;181;62;
462000;181;62;
463000;184;61;
464000;183;62;
465000;188;62;
466000;183;62;
467000;186;62;
468000;185;63;
469000;185;62;
470000;187;64;
471000;189;62;
472000;187;63;
473000;189;65;
474000;190;64;
475000;189;63;
476000;188;66;
477000;188;63;
478000;191;63;
479000;190;64;
480000;189;63;
481000;188;63;
482000;190;65;
483000;189;65;
484000;193;65;
485000;194;66;
486000;197;64;
487000;192;64;
488000;195;72;
489000;194;65;
490000;192;65;
491000;195;65;
492000;194;65;
493000;197;66;
494000;196;67;
495000;197;66;
496000;195;66;
497000;197;66;
498000;198;67;
499000;198;66;
500000;197;67;
501000;198;66;
502000;201;68;
503000;197;69;
504000;198;67;
505000;199;68;
506000;199;67;
507000;202;67;
508000;201;68;
509000;202;69;
510000;200;69;
511000;202;69;
512000;201;67;
513000;201;68;
514000;202;67;
515000;203;68;
516000;203;68;
517000;202;70;
518000;204;68;
519000;204;69;
520000;208;68;
521000;208;69;
522000;206;69;
523000;208;69;
524000;207;69;
525000;209;70;
526000;211;70;
527000;212;69;
528000;213;70;
529000;212;74;
530000;215;70;
531000;213;70;
532000;212;71;
533000;214;71;
534000;215;72;
535000;214;70;
536000;214;70;
537000;221;74;
538000;219;73;
539000;216;72;
540000;217;72;
541000;220;70;
542000;219;71;
543000;223;73;
544000;222;72;
545000;219;71;
546000;219;73;
547000;221;72;
548000;220;72;
549000;221;72;
550000;221;73;
551000;223;73;
552000;221;72;
553000;228;72;
554000;225;74;
555000;222;72;
556000;226;73;
557000;225;73;
558000;226;73;
559000;225;73;
560000;226;73;
561000;228;75;
562000;228;75;
563000;228;74;
564000;227;75;
565000;230;74;
566000;230;75;
567000;228;74;
568000;230;75;
569000;233;76;
570000;232;74;
571000;229;76;
572000;230;77;
573000;232;77;
574000;231;75;
575000;233;78;
576000;232;76;
577000;237;76;
578000;232;76;
579000;238;78;
580000;234;77;
581000;235;77;
582000;235;77;
583000;237;77;
584000;236;80;
585000;242;78;
586000;250;82;
587000;244;78;
588000;238;77;
589000;236;77;
590000;240;78;
591000;238;78;
592000;240;77;
593000;239;80;
594000;241;78;
595000;241;79;
596000;241;80;
597000;241;79;
598000;240;79;
599000;240;84;
600000;242;78;
601000;246;79;
602000;245;79;
603000;245;79;
604000;246;80;
605000;246;80;
606000;246;80;
607000;248;79;
608000;245;79;
609000;246;81;
610000;249;79;
611000;249;80;
612000;248;80;
613000;247;80;
614000;256;81;
615000;251;81;
616000;250;81;
617000;254;81;
618000;264;86;
619000;256;82;
620000;251;82;
621000;255;81;
622000;251;82;
623000;252;83;
624000;255;82;
625000;255;84;
626000;254;80;
627000;254;82;
628000;263;84;
629000;256;83;
630000;254;82;
631000;257;83;
632000;255;82;
633000;255;83;
634000;259;83;
635000;258;83;
636000;257;84;
637000;258;84;
638000;259;84;
639000;258;84;
640000;260;83;
641000;259;83;
642000;261;88;
643000;260;85;
644000;260;85;
645000;262;84;
646000;260;86;
647000;262;85;
648000;261;85;
649000;264;85;
650000;264;86;
651000;268;86;
652000;265;86;
653000;267;87;
654000;263;87;
655000;264;84;
656000;269;86;
657000;263;85;
658000;267;86;
659000;267;87;
660000;268;87;
661000;267;87;
662000;277;86;
663000;267;86;
664000;268;87;
665000;268;87;
666000;271;87;
667000;270;88;
668000;271;87;
669000;274;93;
670000;271;87;
671000;271;88;
672000;271;88;
673000;272;87;
674000;276;89;
675000;273;89;
676000;274;89;
677000;274;89;
678000;276;88;
679000;277;88;
680000;275;90;
681000;275;89;
682000;277;89;
683000;281;89;
684000;276;89;
685000;279;89;
686000;278;90;
687000;277;90;
688000;280;90;
689000;280;91;
690000;280;89;
691000;280;90;
692000;282;92;
693000;282;90;
694000;281;92;
695000;283;92;
696000;284;92;
697000;283;92;
698000;284;91;
699000;284;91;
700000;283;92;
701000;290;92;
702000;287;90;
703000;286;93;
704000;286;92;
705000;285;91;
706000;284;92;
707000;287;94;
708000;288;97;
709000;286;92;
710000;289;93;
711000;289;93;
712000;289;92;
713000;290;93;
714000;288;95;
715000;289;92;
716000;290;91;
717000;292;94;
718000;290;95;
719000;292;95;
720000;292;94;
721000;298;94;
722000;295;95;
723000;295;94;
724000;295;94;
725000;294;94;
726000;296;96;
727000;298;96;
728000;293;96;
729000;299;95;
730000;296;95;
731000;298;96;
732000;298;95;
733000;304;96;
734000;299;95;
735000;301;97;
736000;301;96;
737000;301;96;
738000;313;96;
739000;301;98;
740000;304;97;
741000;302;97;
742000;300;96;
743000;300;98;
744000;305;96;
745000;308;100;
746000;311;99;
747000;304;97;
748000;317;105;
749000;316;101;
750000;317;100;
751000;307;97;
752000;308;97;
753000;308;98;
754000;305;99;
755000;309;97;
756000;307;97;
757000;315;101;
758000;309;99;
759000;312;98;
760000;309;98;
761000;310;100;
762000;311;98;
763000;311;100;
764000;313;100;
765000;313;99;
766000;312;101;
767000;313;99;
768000;313;105;
769000;313;101;
770000;313;101;
771000;313;100;
772000;314;104;
773000;314;102;
774000;315;101;
775000;317;100;
776000;316;101;
777000;316;101;
778000;318;104;
779000;317;102;
780000;322;101;
781000;319;102;
782000;319;104;
783000;319;103;
784000;320;101;
785000;319;104;
786000;319;104;
787000;320;102;
788000;319;102;
789000;320;102;
790000;321;101;
791000;322;105;
792000;321;103;
793000;320;103;
794000;323;103;
795000;324;105;
796000;324;104;
797000;322;106;
798000;323;103;
799000;325;104;
800000;326;105;
801000;325;104;
802000;325;109;
803000;331;107;
804000;329;105;
805000;327;105;
806000;340;112;
807000;333;106;
808000;330;106;
809000;332;105;
810000;331;104;
811000;333;107;
812000;331;107;
813000;333;110;
814000;332;106;
815000;331;108;
816000;332;106;
817000;334;107;
818000;334;106;
819000;334;107;
820000;337;107;
821000;355;108;
822000;337;108;
823000;334;108;
824000;338;108;
825000;336;107;
826000;338;107;
827000;339;107;
828000;338;107;
829000;337;109;
830000;337;111;
831000;336;108;
832000;337;109;
833000;341;109;
834000;337;108;
835000;346;109;
836000;338;109;
837000;341;109;
838000;344;108;
839000;341;109;
840000;342;109;
841000;343;110;
842000;343;109;
843000;344;110;
844000;369;115;
845000;349;114;
846000;349;110;
847000;347;109;
848000;351;111;
849000;348;111;
850000;348;110;
851000;347;110;
852000;347;110;
853000;347;113;
854000;351;111;
855000;348;113;
856000;354;111;
857000;350;113;
858000;349;111;
859000;350;114;
860000;349;112;
861000;350;113;
862000;351;112;
863000;352;113;
864000;351;113;
865000;370;114;
866000;358;115;
867000;364;113;
868000;355;112;
869000;358;112;
870000;357;113;
871000;357;113;
872000;356;112;
873000;356;114;
874000;361;112;
875000;358;113;
876000;358;119;
877000;364;114;
878000;363;113;
879000;360;113;
880000;361;113;
881000;363;114;
882000;360;115;
883000;361;114;
884000;361;115;
885000;364;114;
886000;363;115;
887000;365;116;
888000;361;114;
889000;362;116;
890000;365;117;
891000;366;116;
892000;367;115;
893000;364;117;
894000;365;116;
895000;365;118;
896000;365;116;
897000;368;118;
898000;366;121;
899000;366;119;
900000;365;117;
901000;367;117;
902000;367;116;
903000;368;117;
904000;372;116;
905000;370;117;
906000;369;124;
907000;372;117;
908000;373;117;
909000;371;119;
910000;371;117;
911000;372;118;
912000;370;119;
913000;372;117;
914000;374;118;
915000;372;118;
916000;376;118;
917000;374;120;
918000;374;119;
919000;374;118;
920000;375;118;
921000;375;119;
922000;376;119;
923000;377;120;
924000;377;120;
925000;378;120;
926000;385;119;
927000;383;124;
928000;379;121;
929000;380;122;
930000;378;120;
931000;379;120;
932000;378;120;
933000;385;122;
934000;379;121;
935000;381;122;
936000;384;120;
937000;380;122;
938000;382;122;
939000;384;121;
940000;383;122;
941000;383;121;
942000;385;121;
943000;384;124;
944000;385;122;
945000;391;123;
946000;385;124;
947000;389;123;
948000;387;122;
949000;386;122;
950000;384;123;
951000;394;124;
952000;387;122;
953000;384;122;
954000;384;128;
955000;385;123;
956000;387;124;
957000;383;124;
958000;385;125;
959000;384;131;
960000;443;128;
961000;394;125;
962000;399;127;
963000;391;127;
964000;401;128;
965000;392;127;
966000;391;126;
967000;395;126;
968000;395;127;
969000;393;125;
970000;396;128;
971000;394;129;
972000;414;126;
973000;400;129;
974000;400;128;
975000;395;125;
976000;409;128;
977000;395;136;
978000;414;131;
979000;405;129;
980000;401;130;
981000;397;126;
982000;401;125;
983000;400;127;
984000;396;128;
985000;398;131;
986000;398;129;
987000;401;127;
988000;400;130;
989000;402;129;
990000;398;129;
991000;408;128;
992000;402;129;
993000;398;130;
994000;401;130;
995000;400;129;
996000;402;128;
997000;399;128;
998000;400;130;
999000;400;128;
1000000;410;128;
